image_filename,Atelectasis,Consolidation,Infiltration,Pneumothorax,Edema,Emphysema,Fibrosis,Effusion,Pneumonia,Pleural_Thickening,Cardiomegaly,Nodule,Mass,Hernia,Lung Lesion,Fracture,Lung Opacity,Enlarged Cardiomediastinum
00021091_002.png,0.5845471,0.54401493,0.5107566,0.5221175,0.5295528,0.5219083,0.5100038,0.54071856,0.61701536,0.5343263,0.532411,0.5210526,0.55897725,0.23751663,0.20734523,0.51788414,0.6812285,0.56432277
00010531_073.png,0.5718521,0.537446,0.47111666,0.5169326,0.52162254,0.5218566,0.504421,0.51069003,0.61125827,0.5205057,0.5232198,0.51997566,0.55194056,0.090750106,0.10808501,0.510867,0.6890756,0.5550853
00025007_000.png,0.59892815,0.5620613,0.5284367,0.5285003,0.5446473,0.51904035,0.53473234,0.61827445,0.57747865,0.56169665,0.57103324,0.52706665,0.5804024,0.25486934,0.50418556,0.52142507,0.6979017,0.59198815
00009903_000.png,0.59670913,0.55391014,0.51612353,0.5252354,0.53197753,0.52866244,0.5141259,0.5686357,0.6516559,0.53307116,0.52803415,0.5251399,0.55734324,0.13647139,0.213879,0.5185993,0.7171005,0.56895334
00023271_002.png,0.5711205,0.5372962,0.45337224,0.5149443,0.52471805,0.51823425,0.5039012,0.5059274,0.59846485,0.5160475,0.5241497,0.5194826,0.5468129,0.07348955,0.118357904,0.5116723,0.7065267,0.55911076
00021399_000.png,0.5685644,0.5365192,0.4075447,0.5133356,0.52142286,0.51991904,0.5017749,0.48395374,0.604828,0.51131487,0.5240227,0.51841784,0.54117507,0.06145453,0.08619928,0.5099486,0.70774305,0.5594033
00028106_000.png,0.5865031,0.5469158,0.5029224,0.5191064,0.53132594,0.52467656,0.51179415,0.53883654,0.599552,0.526633,0.5605481,0.5252452,0.56509644,0.12607759,0.29719874,0.5147809,0.6950499,0.58186287
00002846_013.png,0.582382,0.5472809,0.50654006,0.52340126,0.52704823,0.52476,0.5086118,0.5342114,0.6298443,0.5280785,0.52733946,0.52561337,0.5601139,0.09792893,0.18079554,0.5124742,0.73076594,0.57273984
00022201_000.png,0.56905866,0.53639346,0.44981995,0.51452625,0.5223143,0.5219816,0.5008865,0.44450107,0.631636,0.51153976,0.5146097,0.51939905,0.53936434,0.06529433,0.088306196,0.5097525,0.71898305,0.5515266
00006260_008.png,0.5909354,0.5511848,0.50903356,0.5219245,0.5296433,0.5215855,0.51303816,0.5528455,0.60183084,0.53314245,0.5411379,0.5256481,0.5641078,0.12044954,0.25472817,0.5158465,0.71687174,0.5755701
00011545_000.png,0.5629595,0.53090286,0.33374786,0.5073482,0.51109505,0.5161675,0.354943,0.29173312,0.5722723,0.50456035,0.51446795,0.5120877,0.53057146,0.06713441,0.061434373,0.5072948,0.6679489,0.5390134
